County,Year(s),Number of Extreme Heat Days
Bay,1991,21
Bay,1992,2
Bay,1993,10
Bay,1994,10
Bay,1995,20
Bay,1996,8
Bay,1997,12
Bay,1998,16
Bay,1999,19
Bay,2000,7
Bay,2001,17
Bay,2002,26
Bay,2003,13
Bay,2004,9
Bay,2005,33
Bay,2006,20
Bay,2007,20
Bay,2008,13
Bay,2009,5
Bay,2010,36
Bay,2011,30
Bay,2012,32
Bay,2013,28
Bay,2014,11
Bay,2015,18
Bay,2016,29
Benzie,1979,1
Benzie,1980,3
Benzie,1982,1
Benzie,1983,12
Benzie,1984,2
Benzie,1985,2
Benzie,1986,5
Benzie,1987,14
Benzie,1988,15
Benzie,1989,3
Benzie,1990,2
Benzie,1991,11
Benzie,1993,1
Benzie,1994,3
Benzie,1995,9
Benzie,1996,3
Benzie,1997,3
Benzie,1998,3
Benzie,1999,6
Benzie,2000,1
Benzie,2001,14
Benzie,2002,5
Benzie,2003,3
Benzie,2005,13
Benzie,2006,12
Benzie,2007,10
Benzie,2008,1
Benzie,2009,3
Benzie,2010,15
Benzie,2011,17
Benzie,2012,22
Benzie,2013,12
Benzie,2014,6
Benzie,2015,8
Benzie,2016,13
Berrien,1979,7
Berrien,1980,25
Berrien,1981,9
Berrien,1982,7
Berrien,1983,32
Berrien,1984,12
Berrien,1985,10
Berrien,1986,13
Berrien,1987,27
Berrien,1988,39
Berrien,1989,10
Berrien,1990,11
Berrien,1991,27
Berrien,1992,4
Berrien,1993,14
Berrien,1994,15
Berrien,1995,23
Berrien,1996,10
Berrien,1997,14
Berrien,1998,17
Berrien,1999,25
Berrien,2000,14
Berrien,2001,21
Berrien,2002,26
Berrien,2003,13
Berrien,2004,9
Berrien,2005,33
Berrien,2006,24
Berrien,2007,26
Berrien,2008,15
Berrien,2009,11
Berrien,2010,42
Berrien,2011,36
Berrien,2012,44
Berrien,2013,30
Berrien,2014,21
Berrien,2015,23
Berrien,2016,34
Branch,1979,7
Branch,1980,24
Branch,1981,9
Branch,1982,8
Branch,1983,35
Branch,1984,12
Branch,1985,8
Branch,1986,13
Branch,1987,24
Branch,1988,37
Branch,1989,10
Branch,1990,12
Branch,1991,26
Branch,1992,4
Branch,1993,15
Branch,1994,15
Branch,1995,28
Branch,1996,8
Branch,1997,16
Branch,1998,18
Branch,1999,29
Branch,2000,15
Branch,2001,20
Branch,2002,27
Branch,2003,14
Branch,2004,8
Branch,2005,30
Branch,2006,21
Branch,2007,26
Branch,2008,19
Branch,2009,9
Branch,2010,43
Branch,2011,35
Branch,2012,45
Branch,2013,30
Branch,2014,22
Branch,2015,26
Branch,2016,39
Calhoun,1979,5
Calhoun,1980,22
Calhoun,1981,9
Calhoun,1982,8
Calhoun,1983,32
Calhoun,1984,12
Calhoun,1985,9
Calhoun,1986,12
Calhoun,1987,23
Calhoun,1988,35
Calhoun,1989,9
Calhoun,1990,13
Calhoun,1991,24
Calhoun,1992,4
Calhoun,1993,14
Calhoun,1994,13
Calhoun,1995,28
Calhoun,1996,7
Calhoun,1997,14
Calhoun,1998,17
Calhoun,1999,24
Calhoun,2000,13
Calhoun,2001,19
Calhoun,2002,30
Calhoun,2003,12
Calhoun,2004,8
Calhoun,2005,32
Calhoun,2006,22
Calhoun,2007,28
Calhoun,2008,20
Calhoun,2009,8
Calhoun,2010,41
Calhoun,2011,32
Calhoun,2012,45
Calhoun,2013,29
Calhoun,2014,21
Calhoun,2015,24
Calhoun,2016,33
Cass,1979,11
Cass,1980,32
Cass,1981,9
Cass,1982,9
Cass,1983,38
Cass,1984,15
Cass,1985,13
Cass,1986,15
Cass,1987,28
Cass,1988,39
Cass,1989,13
Cass,1990,14
Cass,1991,30
Cass,1992,5
Cass,1993,19
Cass,1994,17
Cass,1995,31
Cass,1996,11
Cass,1997,16
Cass,1998,20
Cass,1999,30
Cass,2000,17
Cass,2001,22
Cass,2002,33
Cass,2003,15
Cass,2004,10
Cass,2005,34
Cass,2006,26
Cass,2007,27
Cass,2008,21
Cass,2009,11
Cass,2010,44
Cass,2011,40
Cass,2012,49
Cass,2013,32
Cass,2014,23
Cass,2015,32
Cass,2016,43
Charlevoix,1980,1
Charlevoix,1986,2
Charlevoix,1987,2
Charlevoix,1988,6
Charlevoix,1991,1
Charlevoix,1994,1
Charlevoix,1995,3
Charlevoix,1999,2
Charlevoix,2000,1
Charlevoix,2001,5
